iata,latitude,longitude,total
ABE,40.65236278,-75.44040167,4807
ABI,32.41132,-99.68189722,2660
ABQ,35.04022222,-106.6091944,41146
ABY,31.535515,-84.19447333,1095
ACK,41.25305194,-70.06018139,457
ACT,31.61128833,-97.23051917,1993
ACV,40.97811528,-124.1086189,3714
ACY,39.45758333,-74.57716667,116
ADK,51.87796389,-176.6460306,102
ADQ,57.74996778,-152.4938553,706
AEX,31.32737167,-92.54855611,2330
AGS,33.369955,-81.96449611,2403
AKN,58.67680167,-156.6492175,116
ALB,42.74811944,-73.80297861,13474
ALO,42.55708139,-92.40034361,323
AMA,35.2193725,-101.7059272,7496
ANC,61.17432028,-149.9961856,19327
ASE,39.22316,-106.868845,5307
ATL,33.64044444,-84.42694444,414513
ATW,44.25740806,-88.51947556,5873
AUS,30.19453278,-97.66987194,49623
AVL,35.43619444,-82.54180556,4399
AVP,41.33814944,-75.7242675,2386
AZO,42.234875,-85.5520575,3924
BDL,41.93887417,-72.68322833,29449
BET,60.77977639,-161.8379975,1035
BFL,35.43359806,-119.0567681,4502
BGM,42.20848278,-75.97961361,728
BGR,44.80744444,-68.82813889,2879
BHM,33.56294306,-86.75354972,23679
BIL,45.8076625,-108.5428611,4505
BIS,46.77411111,-100.7467222,2293
BJI,47.50942417,-94.93372333,74
BLI,48.79275,-122.5375278,120
BMI,40.47798556,-88.91595278,4801
BNA,36.12447667,-86.67818222,57539
BOI,43.56444444,-116.2227778,17024
BOS,42.3643475,-71.00517917,117915
BPT,29.95083333,-94.02069444,276
BQK,31.25902778,-81.46630556,925
BRO,25.90683333,-97.42586111,1464
BRW,71.2854475,-156.7660019,728
BTM,45.95479528,-112.49746,708
BTR,30.53316083,-91.14963444,8941
BTV,44.47300361,-73.1503125,7005
BUF,42.94052472,-78.73216667,26281
BUR,34.20061917,-118.3584969,31405
BWI,39.17540167,-76.66819833,104074
BZN,45.77690139,-111.1530072,4659
CAE,33.93884,-81.11953944,10550
CAK,40.91631194,-81.44246556,8994
CDC,37.70097028,-113.098575,668
CDV,60.49183389,-145.4776503,725
CEC,41.78015722,-124.2365333,1063
CHA,35.03526833,-85.20378778,4571
CHO,38.13863889,-78.45286111,823
CHS,32.89864639,-80.04050583,14181
CIC,39.79538278,-121.8584231,1392
CID,41.88458833,-91.71087222,9377
CLD,33.127231,-117.278727,2303
CLE,41.41089417,-81.84939667,65795
CLL,30.58858944,-96.36382417,1367
CLT,35.21401111,-80.94312583,126045
CMH,39.99798528,-82.89188278,34157
CMI,40.03925,-88.27805556,2774
CMX,47.16841722,-88.48906083,318
COD,44.52019417,-109.0237961,1188
COS,38.80580556,-104.70025,16201
